country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,3.09,,,,,4.09,,,,,1.66,3.31,3.74,5.28,4.63,4.64,4.68,4.66,4.44,4.81,5.12,4.26,4.79,4.59,4.45,4.73,4.35,3.62
Mexico,,,,,,,,,,,,,,,,,,,,,5.45,17.4,16.2,17.7,16.8,17,16.1,18,15,14.4,12.6,11.9,11.9,11.7,11.2,10.8,10.3,10.3,9.94,9.47,9.35,9.23,8.87,8.16,8.03,7.68,7.22,6.95
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.97,8.84,10.7,10.2,3.39,1.48,1.39,4.28,3.37,3.47,3.38,3.46,4.42,3.34,3.02,3.5,6.12,7.06,5.51
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,,,31.7,,,,36.1,34.1,35.1,15.3,10.3,5.98,3.89,3.58,3.13,4.6,4.84
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,2.63,2.73,1.42,1.77,0.74,2.42,1.53,2.32,3.28,3.11,3.89
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,29.3,,,,50.9,54.9,5.47,5.07,52.5,52.5,56.1,55.7,55.3,51.8,48.6,49.8,48.5,49.5,47.3,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.8,,,,,,,,,,,,27.7,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,,36.3
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,31.5,,,18.1,,,4.13,22,,,5.85,,,,1.17,,2.98,,7.03,5.38,7.26,,5.05,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,,,63.9,,,,,,,,,
Netherlands,,,,,,,,,,,,,,6.94,,6.17,,5.34,4.86,4.85,5.08,3.83,2.62,2.92,2.52,2.45,2.1,2.11,1.8,1.64,1.59,1.36,1.09,0.94,0.86,0.96,0.97,0.92,0.77,0.74,1.07,1.01,0.85,0.79,0.81,0.86,0.71,0.53
New Zealand,,,,,,,,,,,,,,,,,1.6,1.04,1.04,1.1,1.88,1.94,1.85,1.64,1.63,1.56,1.81,1.35,1.4,1.29,1.26,1.21,1.06,0.94,0.84,0.88,1.28,1.52,1.25,1.37,1.4,1.43,1.4,1.47,1.37,1.1,1.02,0.96
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,3.55,,3.73,3.76,3.96,5.55,4.9,11,,,12,10.4,11.7,9.1,,9.09,,,,22.2,,9.19,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,2.63,1.97,1.86,1.74,1.29,1.55,1.28,0.85,1.18,0.54,0.49,0.68,0.49,0.48,0.27,0.3,0.45,0.34,0.31,0.32,0.25,0.13,0.17,0.24,0.18,0.18,0.19,0.1
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,61.7,61.6,54.1,63.3,63.3,50.1,50.1,46.9,46.9,52.8,52.8,57,60.4,63.1,63.3,64.5,61.7,,59.1,53.4,53.1,54.7,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,28,28.5,27.5,27.7,34,27.4,29.5,33.1,32.6,31.3,32.3,35.2,27.3,19.8,19.5,23.1,24.6,20.9,18.8,17,12.8,9.96
Panama,,,,,,,,,,,,,2.97,3.36,2.05,2.85,2.33,3.83,4.7,3.35,,,2.17,2.43,1.59,2.98,2.83,2.85,2.85,2.08,1.79,3.28,3.2,3.97,3.62,5.51,5.03,3.98,4.45,7.43,6.8,5.37,7.17,7.75,6.5,6.07,7.24,6.57
Paraguay,,,,,,,,,,,,,,,,,,,,,0.13,0.4,0.99,2.87,4.33,,7.17,8.13,9.94,9.07,,10.3,9.72,8.7,9.25,8.41,9.36,7.47,9.01,8.09,7.59,7.65,6.34,7.11,5.56,11.5,9.8,10.8
Peru,,,,,,,,,,,,,,,,,,,,,9.2,5.93,7.28,9.25,8.31,8.26,10.1,12.1,11.7,10.7,10.7,11.5,29.8,31.4,31.3,30.6,29.5,26.3,25.1,25.3,25,24.7,23.9,23.5,23.2,23,22.9,21.7
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,19.3,16.8,18,18.3,17.5,16.4,17.8,17.7,17.4,17.6,17.4,16.6,16.9,16.1,15.1,15.7,,12.3,9.64
Poland,,,,,,,,,,,,,,,,,,,,,,,7.83,8.38,7.46,7.69,7.88,7,6.25,5.18,6.64,7.06,7.15,6.99,7.15,7.03,6.24,5.97,5.86,5.75,5.59,5.25,4.96,4.71,4.47,4.2,3.83,3.77
Portugal,,,,,,,,,,,,,,,,,7.06,6.48,5.46,4.72,4.01,5.87,2.36,2.45,2.74,2.59,2.01,1.93,3.02,2.75,3.36,3.66,2.82,2.16,2.16,2.05,1.77,1.46,1.16,1.11,1.19,0.79,0.76,0.75,0.6,0.58,0.65,0.49
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,
Romania,,,,,,,,,,,,,,,,,,,,,,5.63,22,22.9,24.2,23.7,25.6,27.8,28.6,30.8,31.1,31,23.6,25.1,22.1,21.2,19.9,19.9,18.9,19.2,20.2,19.5,19.4,18.8,18.3,14.9,13.3,12.7
Russia,,,,,,,,,,,,,,,,,,,,,,,0.07,0.12,0.1,0.16,0.12,0.08,0.07,0.15,0.1,0.06,0.07,0.1,0.07,0.09,0.07,0.11,0.1,0.32,0.37,0.28,0.36,0.36,0.4,0.37,0.4,0.38
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,19.1,,,,,,,,,,12.4,,43.7,,,7.68
Samoa,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,35.7,,,,,30.5,,4.32,,,,2.81,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.53,0.35,0.32,0.3,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,9.1,9.1,9.1,0.38,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,0.04,0.03,,
Senegal,,,,,,,,,,,,,,,,,,,,,,32.4,,,,,,,,,,24.7,,,,,,,,,,30.1,,,,28.6,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,13.9,11.6,11.9,15.6,14.6,13.2,12.7,12.2,13,13.4,13,12.9,9.37
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,0.16,0.29,0.25,0.14
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,,,,,,,,,,6.42,,,
Singapore,,,,,,,,,,,,,,,,,3.57,3.95,3.34,2.78,,2.08,1.87,1.86,2.14,1.83,2.18,2.18,2.14,2.18,0.64,2,1.62,1.51,1.4,,1.09,1.27,1.06,1.01,0.79,1.16,0.96,0.8,0.84,0.5,0.72,0.7
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.2,0.18,0.11,,0.21,0.19,0.2,0.17,0.19,0.25,0.11,0.06,0.13,0.18,0.23,0.2,0.1,0.09,0.1,0.15,0.26,0.18,0.08
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,4.56,7.56,6.6,5.6,8.85,8.37,7.44,6.61,6.94,6.13,5.69,6.89,6.85,7.11,6.68,5.42,6.91,6.18,5.33,5.14,6.05,8.01,5.44,3.05,3.47
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,2.35,1.87,1.38,1.28,1,1.12,0.68,1.44,1.45,1.24,1.13,1.03,0.98,0.82,0.82,0.73,0.74
